//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           0        0     255     0       0      0          0    
7           6        0     255     0       0      0          0              
7           8        0     255     0       0      0          0    
7           9        0     255     0       0      0          0    
// Armor
8           0        0     255     0       0      0          0      
8           6        0     255     0       0      0          0                  
8           8        0     255     0       0      0          0    
8           9        0     255     0       0      0          0                  
// Pant
9           0        0     255     0       0      0          0                  
9           6        0     255     0       0      0          0   
9           8        0     255     0       0      0          0   
9           9        0     255     0       0      0          0	                   
// Glover
10          0        0     255     0       0      0          0                  
10          6        0     255     0       0      0          0   
10          8        0     255     0       0      0          0   
10          9        0     255     0       0      0          0   

// Boot
11          0        0     255     0       0      0          0                  
11          6        0     255     0       0      0          0   
11          8        0     255     0       0      0          0   
11          9        0     255     0       0      0          0   
// Weapon                            
0           3        0     255     0       0      0          0                  
0           5        0     255     0       0      0          0                 
3           0        0     255     0       0      0          0
1           8        0     255     0       0      0          0    
// Skill             
12          7        0     0       0       0      0          0                  
12          13       0     0       0       0      0          0                                  
12          14       0     0       0       0      0          0           
12          19       0     0       0       0      0          0                                
12          44       0     0       0       0      0          0          
end

